,Address,Neighborhood,Bedrooms,Bathrooms,Square Meters,Building Age,Garden,Garage,Floors,Property Type,Heating Type,Balcony,Interior Style,View,Materials,Building Status,Price
0,78 Regent Street,Notting Hill,2,3,0.5061939529573446,0.75835479,0,0,3,2,1,0,1,1,2,2,0.512445447
1,198 Oxford Street,Westminster,2,1,-0.458871289,-0.549450157,1,0,1,0,0,0,1,0,1,1,-0.415068493
2,18 Regent Street,Soho,5,3,0.3166275660533582,-0.411786479,0,1,3,2,0,2,1,4,3,2,0.046412927256738006
3,39 Piccadilly Circus,Islington,5,1,1.5057258111783638,0.10445231614353713,1,1,1,0,3,2,0,2,0,2,0.062796883
4,116 Fleet Street,Marylebone,4,1,-0.389938058,-0.928025273,0,1,2,2,0,2,3,2,3,1,-0.360455307
5,32 Bond Street,Notting Hill,5,2,-1.389469916,0.6551070305740465,1,1,2,0,0,1,2,2,2,2,-1.257021775
6,197 Baker Street,Soho,3,3,-0.37270475,-0.893609354,1,0,2,0,1,1,0,3,1,1,-0.735163202
7,86 Fleet Street,Kensington,5,2,-0.338238134,1.3090095039602765,1,0,1,0,1,2,2,0,1,2,-0.220889035
8,9 Park Lane,Greenwich,5,1,-1.268836761,-1.650759586,0,1,3,0,1,1,0,3,1,0,-1.5179522
9,50 Strand,Kensington,4,2,-1.561802995,0.9992662270931149,0,0,3,2,2,2,0,4,3,1,-1.07406874
10,56 Oxford Street,Greenwich,5,1,1.471259195377639,-0.033211362,0,1,1,1,0,2,3,3,1,2,0.5793465992744093
11,9 Oxford Street,Marylebone,1,3,0.9197933425660422,1.5155050218717174,0,1,1,2,1,0,1,3,1,0,0.6771952239403354
12,139 Fleet Street,Kensington,5,1,0.3683274897544454,-1.685175506,1,0,2,2,2,1,0,0,3,0,0.8628800558645112
13,128 Bond Street,Soho,2,3,-0.665670984,-1.23776855,0,1,3,2,1,0,3,1,2,2,-0.679942445
14,62 Baker Street,Greenwich,5,3,-1.320536684,0.8271866288335807,1,0,3,2,2,1,0,3,1,0,-1.42996353
15,10 Regent Street,Kensington,2,1,-0.838004063,-0.136459121,0,1,1,2,3,1,3,4,1,1,-0.347713368
16,37 Bond Street,Shoreditch,5,3,-1.182670221,-0.859193434,1,1,1,1,2,1,2,1,3,1,-1.080666696
17,192 Bond Street,Islington,1,1,1.0576598057689415,0.035620476839723456,1,1,3,0,2,2,3,2,1,2,-0.173860256
18,197 Baker Street,Notting Hill,2,2,-0.458871289,0.10445231614353713,1,0,1,2,2,0,3,2,0,0,-0.303111462
19,102 Park Lane,Greenwich,2,3,-0.941403911,1.171345825352649,1,1,1,1,2,0,0,3,3,2,-1.013537988
20,113 King's Road,Shoreditch,2,1,-1.303303377,-0.136459121,0,0,1,2,1,2,0,2,2,2,-1.353506208
21,176 Camden High Street,Notting Hill,4,1,-0.545037829,1.5499209415236241,1,0,1,0,3,0,0,3,2,2,-0.662345621
22,27 Piccadilly Circus,Notting Hill,1,2,0.8163934951638678,0.964850307,0,1,1,1,3,0,0,1,0,0,1.4918407752447347
23,194 Bond Street,Islington,2,1,0.4717273371566198,0.1732841554473508,0,0,1,0,0,0,3,3,0,2,-0.483334976
24,3 Piccadilly Circus,Islington,5,2,-0.820770755,-0.996857113,0,0,3,1,2,2,1,3,0,2,-0.701787719
25,155 Strand,Westminster,2,3,0.1959944107508214,-0.859193434,0,0,3,1,2,1,2,3,3,0,1.2028471378433332
26,131 King's Road,Soho,3,1,0.1098278712490094,1.171345825352649,1,0,1,0,2,1,2,4,2,2,-0.437823987
27,104 Oxford Street,Islington,2,3,0.5061939529573446,-1.547511827,0,1,1,1,3,2,1,4,1,0,0.34951610878002504
28,98 Strand,Kensington,5,2,-0.217604979,-1.444264068,1,0,1,0,1,2,0,2,0,0,-0.120005966
29,104 Piccadilly Circus,Westminster,4,2,-0.389938058,0.31094783405497817,0,0,1,2,0,1,0,4,1,0,-0.013661577
30,128 Piccadilly Circus,Notting Hill,2,2,-1.458403148,1.4810891022198105,1,0,3,2,2,1,1,2,2,0,-1.147796541
31,96 Camden High Street,Notting Hill,1,1,-0.803537447,-0.687113836,1,1,3,2,1,2,2,4,1,1,-0.594382925
32,106 Piccadilly Circus,Kensington,4,2,0.6612937240606062,-1.031273032,0,1,2,0,2,2,2,3,3,0,0.6149964941192636
33,60 Park Lane,Camden,4,2,0.8508601109645926,-0.30853872,1,1,1,2,2,2,0,3,0,2,0.2603134341005685
34,193 Oxford Street,Soho,2,2,-0.872470679,0.6206911109221397,1,1,3,1,0,1,1,1,3,2,-0.517468217
35,135 Piccadilly Circus,Marylebone,5,1,-0.527804521,-0.23970688,0,1,3,1,1,2,3,2,0,2,-0.063496109
36,165 Oxford Street,Islington,1,2,0.006428024,-0.549450157,1,0,1,2,2,2,0,2,2,2,-0.456028383
37,168 Strand,Camden,4,1,0.351094182,-0.170875041,0,1,1,0,2,0,3,1,0,1,-0.418102938
38,164 Baker Street,Greenwich,1,3,1.2472261926729278,-1.031273032,1,0,2,2,3,1,3,3,2,2,-0.073736082
39,114 Bond Street,Soho,2,2,0.6440604161602438,0.10445231614353713,1,0,3,0,3,2,3,3,3,1,-0.108628219
40,195 Camden High Street,Westminster,3,2,-1.11373699,0.31094783405497817,0,1,1,2,3,2,0,0,0,2,-0.701787719
41,164 Baker Street,Kensington,2,2,-1.372236608,1.584336861175531,1,0,1,2,3,2,0,3,2,1,-0.883831672
42,41 Camden High Street,Soho,5,3,-1.647969535,-1.581927747,0,0,3,1,1,0,3,3,2,0,-1.234266281
43,50 Oxford Street,Kensington,3,2,0.3855607976548078,-1.341016309,0,0,2,0,0,1,1,4,0,1,0.3844071078963656
44,165 Bond Street,Marylebone,3,2,-0.820770755,-0.480618318,1,1,2,1,1,0,2,3,1,1,-0.353628659
45,174 Piccadilly Circus,Marylebone,4,3,-1.544569687,-1.547511827,0,0,1,1,2,1,0,0,2,1,-1.070426724
46,49 King's Road,Chelsea,2,1,0.48896064505698217,1.4810891022198105,0,1,1,2,0,2,3,2,2,2,1.1459584025724459
47,138 Strand,Greenwich,2,1,-1.062037066,0.24211599475116447,0,0,3,0,1,1,2,0,1,2,-1.426930223
48,147 King's Road,Notting Hill,2,1,-0.596737753,0.6206911109221397,1,0,1,1,0,2,0,3,3,0,-0.000919638
49,44 Park Lane,Marylebone,4,2,-1.475636456,1.3090095039602765,0,0,2,0,3,1,0,4,2,1,-1.366248147
50,155 Piccadilly Circus,Camden,3,1,0.48896064505698217,-0.102043202,1,1,3,2,3,2,2,2,2,2,0.011823438437333168
51,110 Strand,Westminster,5,1,-1.182670221,1.584336861175531,1,0,1,1,0,2,3,4,2,1,-0.435548438
52,174 Regent Street,Greenwich,3,3,1.2816928084736525,0.964850307,1,1,1,0,3,1,2,3,0,1,-0.395347444
53,103 Bond Street,Chelsea,5,2,-1.303303377,0.9992662270931149,1,0,3,0,2,1,1,1,1,0,-0.971820341
54,46 Camden High Street,Westminster,3,3,-1.062037066,1.2401776646564626,0,1,3,2,2,2,3,0,1,0,-0.652635852
55,7 Regent Street,Westminster,1,2,1.0059598820678541,1.2745935843083696,1,0,3,0,3,1,2,2,3,0,0.745461706
56,175 Bond Street,Kensington,3,1,-0.165905055,-0.342954639,1,1,3,2,1,2,0,1,2,0,0.32676061467167017
57,133 Oxford Street,Soho,1,2,1.0059598820678541,0.5862751912702329,1,0,2,1,1,1,0,1,3,2,1.2187759837191816
58,130 Strand,Camden,4,2,0.7646935714627806,1.171345825352649,1,1,1,2,1,0,0,2,2,2,0.2011491494188458
59,190 Fleet Street,Notting Hill,4,1,-0.958637219,-0.859193434,1,1,1,1,1,2,0,0,2,2,-0.383210802
60,58 Camden High Street,Camden,4,2,-1.3550033,-1.065688952,0,0,3,0,0,1,3,2,0,0,-1.394313636
61,76 Oxford Street,Kensington,4,2,0.9025600346656798,-1.478679988,1,1,1,0,0,0,3,3,1,0,0.8167614959551084
62,89 Regent Street,Chelsea,4,2,-1.096503682,-1.685175506,0,0,3,0,2,0,0,4,3,2,-0.789776388
63,93 Piccadilly Circus,Kensington,4,2,-1.613502919,1.1025139860488353,1,1,3,0,2,2,3,1,3,1,-1.287362813
64,20 Regent Street,Islington,2,1,0.8853267267653174,-0.2741228,0,1,3,2,0,0,2,1,0,0,0.10102611311678973
65,96 Fleet Street,Greenwich,3,2,-1.165436913,-0.033211362,1,1,1,1,1,1,3,1,0,0,-1.1614487
66,119 Baker Street,Shoreditch,2,1,1.6608255822816254,-0.549450157,0,0,3,1,3,0,0,1,1,2,0.9843943944031263
67,3 Baker Street,Notting Hill,2,1,0.9025600346656798,0.035620476839723456,0,1,2,1,2,1,3,2,2,1,1.5828638894528597
68,112 Park Lane,Kensington,3,3,0.7302269556620558,1.4122572629159968,0,0,1,1,2,0,0,2,2,1,2.0561781669066415
69,129 Strand,Marylebone,2,1,0.3683274897544454,-0.996857113,0,0,1,1,1,2,1,3,3,1,0.8239681609392243
70,115 Fleet Street,Islington,1,2,0.9714932662671294,-1.341016309,0,1,2,0,3,1,2,1,1,2,-0.219371244
71,193 Piccadilly Circus,Notting Hill,3,3,-1.699669458,-1.581927747,0,1,2,1,1,0,3,3,3,0,-1.165999799
72,151 Regent Street,Kensington,2,3,0.868093419,0.2765319144030713,0,0,2,0,3,0,3,3,2,1,0.7879382493427607
73,22 Camden High Street,Chelsea,5,3,-1.579036303,-1.513095907,0,1,3,2,3,2,3,4,2,0,-1.038569032
74,172 Strand,Soho,4,2,1.4023259637761893,-0.652697916,1,1,2,2,0,2,2,0,1,1,0.8492267593994983
75,22 Baker Street,Islington,5,2,1.4884925032780014,1.3434254236121832,1,0,2,2,0,2,0,4,3,1,0.48331841413715176
76,58 King's Road,Islington,5,2,-1.096503682,-0.962441193,1,1,3,2,1,2,1,4,2,2,-1.155077162
77,16 Camden High Street,Chelsea,4,3,-0.37270475,0.75835479,0,0,1,1,3,0,1,2,0,2,0.8182792874121356
78,31 Park Lane,Camden,5,1,0.7991601872635054,-1.444264068,1,1,2,1,0,2,3,3,1,1,0.8046259909471227
79,181 Strand,Westminster,2,2,1.3678593479754646,1.0336821467450217,1,0,1,2,0,0,0,1,3,0,1.6575019101282638
80,139 Regent Street,Shoreditch,1,2,-1.165436913,-0.033211362,0,0,1,0,2,1,2,2,1,2,-1.410242482
81,63 Park Lane,Soho,2,2,1.1955262689718407,0.7927707091816738,1,1,1,2,1,0,2,3,3,0,0.6963098389913535
82,33 Strand,Shoreditch,5,2,0.5923604924591566,0.964850307,0,1,1,0,1,0,3,4,2,1,-0.559187002
83,183 Piccadilly Circus,Chelsea,3,2,-0.958637219,-0.102043202,1,1,1,1,0,2,2,1,0,2,0.044592488
